name,cloneof,description,year,manufacturer
puckman,,PuckMan (Japan set 1),1980,Namco
puckmana,puckman,PuckMan (Japan set 2),1980,Namco
pacman,puckman,Pac-Man (Midway),1980,[Namco] (Midway license)
pacmanf,puckman,Pac-Man (speedup hack),1980,hack
puckmod,puckman,PuckMan (harder[Q]),1981,Namco
pacmod,puckman,"Pac-Man (Midway, harder)",1981,[Namco] (Midway license)
hangly,puckman,Hangly-Man (set 1),1981,hack
hangly2,puckman,Hangly-Man (set 2),1981,hack
hangly3,puckman,Hangly-Man (set 3),1981,hack
newpuckx,puckman,New Puck-X,1980,hack
pacheart,puckman,Pac-Man (Hearts),1981,hack
joyman,puckman,Joyman,1982,hack
newpuc2,puckman,Newpuc2,1980,hack
newpuc2b,puckman,Newpuc2 (set 2),1980,hack
piranha,puckman,Piranha,1981,GL (US Billiards License)
piranhao,puckman,Piranha (older),1981,GL (US Billiards License)
piranhah,puckman,Piranha (hack),1981,hack
nmouse,,Naughty Mouse (set 1),1981,Amenip (Palcom Queen River)
nmouseb,nmouse,Naughty Mouse (set 2),1981,Amenip Nova Games Ltd.
pacplus,,Pac-Man Plus,1982,[Namco] (Midway license)
mspacman,,Ms. Pac-Man,1981,Midway
mspacmnf,mspacman,Ms. Pac-Man (speedup hack),1981,hack
mspacmab,mspacman,Ms. Pac-Man (bootleg),1981,bootleg
mspacmat,mspacman,Ms. Pac Attack,1981,hack
mspacpls,mspacman,Ms. Pac-Man Plus,1981,hack
pacgal,mspacman,Pac-Gal,1981,hack
mschamp,mspacman,Ms. Pacman Champion Edition - Super Zola Pac Gal,1995,hack
mspactwin,,Ms. Pac-Man Twin (Argentina),1992,SUSILU
maketrax,crush,Make Trax (set 1),1981,[Kural] (Williams license)
maketrxb,crush,Make Trax (set 2),1981,[Kural] (Williams license)
korosuke,crush,Korosuke Roller,1981,Kural Electric
crush,,Crush Roller (Kural Samno),1981,Kural Samno Electric
crush2,crush,Crush Roller (Kural Esco - bootleg[Q]),1981,Kural Esco Electric
crush3,crush,Crush Roller (Kural - bootleg[Q]),1981,Kural Electric
mbrush,crush,Magic Brush,1981,bootleg
paintrlr,crush,Paint Roller,1981,bootleg
eyes,,Eyes (Digitrex Techstar),1982,Digitrex Techstar (Rock-ola license)
eyes2,eyes,Eyes (Techstar),1982,Techstar (Rock-ola license)
mrtnt,,Mr. TNT,1983,Telko
gorkans,mrtnt,Gorkans,1983,Techstar
eggor,,Eggor,1983,Telko
ponpoko,,Ponpoko,1982,Sigma Enterprises Inc.
ponpokov,ponpoko,Ponpoko (Venture Line),1982,Sigma Enterprises Inc. (Venture Line license)
lizwiz,,Lizard Wizard,1985,Techstar (Sunn license)
theglobp,suprglob,The Glob (Pac-Man hardware),1983,Epos Corporation
beastf,suprglob,Beastie Feastie,1984,Epos Corporation
acitya,bwcasino,Atlantic City Action,1983,Epos Corporation
bwcasino,,Boardwalk Casino,1983,Epos Corporation
dremshpr,,Dream Shopper,1982,Sanritsu
vanvan,,Van-Van Car,1983,Sanritsu
vanvank,vanvan,Van-Van Car (Karateco),1983,Karateco
alibaba,,Ali Baba and 40 Thieves,1982,Sega
alibabab,alibaba,Mustafa and 40 Thieves (bootleg),1982,bootleg
pengo,,Pengo (set 1 rev c),1982,Sega
pengo2,pengo,Pengo (set 2),1982,Sega
pengo2u,pengo,Pengo (set 2 not encrypted),1982,Sega
pengo3u,pengo,Pengo (set 3 not encrypted),1982,Sega
pengob,pengo,Pengo (bootleg),1982,bootleg
penta,pengo,Penta,1982,bootleg
jrpacman,,Jr. Pac-Man,1983,Bally Midway
jrpacmnf,jrpacman,Jr. Pac-Man (speedup hack),1983,hack
jumpshot,,Jump Shot,1985,Bally Midway
shootbul,,Shoot the Bull,1985,Bally Midway
bigbucks,,Big Bucks,1986,Dynasoft Inc.
drivfrcp,,Driving Force (Pac-Man conversion),1984,Shinkai Inc. (Magic Eletronics Inc. licence)
8bpm,8ballact,Eight Ball Action (Pac-Man conversion),1985,Seatongrove Ltd (Magic Eletronics USA licence)
porky,,Porky,1985,Shinkai Inc. (Magic Eletronics Inc. licence)
megadon,,Megadon,1982,Epos Corporation (Photar Industries license)
catapult,,Catapult,1982,Epos Corporation
eeekk,,Eeekk!,1983,Epos Corporation
suprglob,,Super Glob,1983,Epos Corporation
theglob,suprglob,The Glob,1983,Epos Corporation
theglob2,suprglob,The Glob (earlier),1983,Epos Corporation
theglob3,suprglob,The Glob (set 3),1983,Epos Corporation
igmo,,IGMO,1984,Epos Corporation
dealer,,The Dealer,19??,Epos Corporation
galaxian,,Galaxian (Namco set 1),1979,Namco
galaxiaj,galaxian,Galaxian (Namco set 2),1979,Namco
galmidw,galaxian,Galaxian (Midway),1979,[Namco] (Midway license)
galmidwo,galaxian,"Galaxian (Midway, old rev)",1979,[Namco] (Midway license)
superg,galaxian,Super Galaxians,1979,hack
galapx,galaxian,Galaxian Part X,1979,hack
moonaln,galaxian,Moon Alien,1979,[Nichibutsu] (Karateco license)
galap1,galaxian,Space Invaders Galactica,1979,hack
galap4,galaxian,Galaxian Part 4,1979,hack
galturbo,galaxian,Galaxian Turbo,1979,hack
swarm,galaxian,Swarm,1979,hack
zerotime,galaxian,Zero Time,1979,Petaco S.A.
tst_galx,galaxian,Galaxian Test ROM,19??,Test ROM
gmgalax,,Ghostmuncher Galaxian (bootleg),1981,bootleg
pisces,,Pisces,19??,Subelectro
piscesb,pisces,Pisces (bootleg),19??,bootleg
uniwars,,UniWar S,1980,Irem
gteikoku,uniwars,Gingateikoku No Gyakushu,1980,Irem
gteikokb,uniwars,Gingateikoku No Gyakushu (bootleg set 1),1980,bootleg
gteikob2,uniwars,Gingateikoku No Gyakushu (bootleg set 2),1980,bootleg
spacbatt,uniwars,Space Battle,1980,bootleg
skyraidr,uniwars,Sky Raiders,1980,bootleg
batman2,phoenix,Batman Part 2,1981,bootleg
warofbug,,War of the Bugs or Monsterous Manouvers in a Mushroom Maze,1981,Armenia
redufo,,Defend the Terra Attack on the Red UFO,1981,bootleg
exodus,redufo,Exodus (bootleg[Q]),19??,Subelectro
streakng,,Streaking,1981,Shoei
pacmanbl,puckman,Pac-Man (Galaxian hardware),1981,bootleg
devilfsg,devilfsh,"Devil Fish (Galaxian hardware, bootleg[Q])",1984,Vision / Artic
zigzag,,"Zig Zag (Galaxian hardware, set 1)",1982,LAX
zigzag2,zigzag,"Zig Zag (Galaxian hardware, set 2)",1982,LAX
jumpbug,,Jump Bug,1981,Rock-ola
jumpbugb,jumpbug,Jump Bug (bootleg),1981,bootleg
levers,,Levers,1983,Rock-ola
azurian,,Azurian Attack,1982,Rait Electronics Ltd
orbitron,,Orbitron,1982,Signatron USA
mooncrgx,mooncrst,Moon Cresta (Galaxian hardware),1980,bootleg
mooncrst,,Moon Cresta (Nichibutsu),1980,Nichibutsu
mooncrsu,mooncrst,"Moon Cresta (Nichibutsu, unencrypted)",1980,Nichibutsu USA
mooncrsa,mooncrst,"Moon Cresta (Nichibutsu, old rev)",1980,Nichibutsu
mooncrsg,mooncrst,Moon Cresta (Gremlin),1980,Gremlin
smooncrs,mooncrst,Super Moon Cresta,1980?,Gremlin
mooncrsb,mooncrst,Moon Cresta (bootleg set 1),1980,bootleg
mooncrs2,mooncrst,Moon Cresta (bootleg set 2),1980,Nichibutsu
fantazia,mooncrst,Fantazia,1980,bootleg
moonqsr,,Moon Quasar,1980,Nichibutsu
mshuttle,,Moon Shuttle (US[Q]),1981,Nichibutsu
mshuttlj,mshuttle,Moon Shuttle (Japan),1981,Nichibutsu
moonal2,,Moon Alien Part 2,1980,Nichibutsu
moonal2b,moonal2,Moon Alien Part 2 (older version),1980,Nichibutsu
eagle,mooncrst,Eagle (set 1),1980,Centuri
eagle2,mooncrst,Eagle (set 2),1980,Centuri
skybase,,Sky Base,1982,"Omori Electric Co., Ltd."
checkman,,Check Man,1982,Zilec-Zenitone
checkmaj,checkman,Check Man (Japan),1982,Jaleco
dingo,,Dingo,1983,Ashby Computers and Graphics LTD. (Jaleco license)
blkhole,,Black Hole,1981,TDS
kingball,,King and Balloon (US),1980,Namco
kingbalj,kingball,King and Balloon (Japan),1980,Namco
scorpnmc,,Scorpion (Moon Cresta hardware),19??,Dorneer
frogg,frogger,Frog (Galaxian hardware),1981,bootleg
4in1,,4 Fun in 1,1981,Armenia / Food and Fun
bagmanmc,bagman,Bagman (Moon Cresta hardware),1982,bootleg
dkongjrm,dkongjr,Donkey Kong Jr. (Moon Cresta hardware),1982,bootleg
ozon1,,Ozon I,1983,Proma
ladybugg,ladybug,Ladybug (bootleg on Galaxian hardware),1983,bootleg
vpool,hustler,Video Pool (bootleg on Moon Cresta hardware),1980,bootleg
drivfrcg,drivfrcp,Driving Force (Galaxian conversion),1984,Shinkai Inc. (Magic Eletronics USA licence)
rockclim,,Rock Climber,1981,Taito
scramble,,Scramble,1981,Konami
scrambls,scramble,Scramble (Stern),1981,[Konami] (Stern license)
scramblb,scramble,Scramble (Galaxian hardware),1981,bootleg
explorer,scramble,Explorer,1981,bootleg
atlantis,,Battle of Atlantis (set 1),1981,Comsoft
atlants2,atlantis,Battle of Atlantis (set 2),1981,Comsoft
theend,,The End,1980,Konami
theends,theend,The End (Stern),1980,[Konami] (Stern license)
omega,theend,Omega,1986,bootleg?
ckongs,ckong,Crazy Kong (Scramble hardware),1981,bootleg
froggers,frogger,Frog,1981,bootleg
amidars,amidar,Amidar (Scramble hardware),1982,Konami
triplep,,Triple Punch,1982,KKI
knockout,triplep,Knock Out!!,1982,KKK
mariner,,Mariner,1981,Amenip
800fath,mariner,800 Fathoms,1981,Amenip (US Billiards Inc. license)
mars,,Mars,1981,Artic
devilfsh,,Devil Fish,1982,Artic
newsin7,,New Sinbad 7,1983,"ATW USA, Inc."
mrkougar,,Mr. Kougar,1984,ATW
mrkougr2,mrkougar,Mr. Kougar (earlier),1983,ATW
mrkougb,mrkougar,Mr. Kougar (bootleg),1983,bootleg
hotshock,,Hot Shocker,1982,E.G. Felaco
hunchbks,hunchbak,Hunchback (Scramble hardware),1983,Century Electronics
cavelon,,Cavelon,1983,Jetsoft
sfx,,SF-X,1983,Nichibutsu
mimonscr,mimonkey,Mighty Monkey (bootleg on Scramble hardware),198?,bootleg
mimonkey,,Mighty Monkey,198?,Universal Video Games
mimonsco,mimonkey,Mighty Monkey (bootleg on Super Cobra hardware),198?,bootleg
scobra,,Super Cobra,1981,Konami
scobras,scobra,Super Cobra (Stern),1981,[Konami] (Stern license)
scobrase,scobra,Super Cobra (Sega),1981,[Konami] (Sega license)
scobrab,scobra,Super Cobra (bootleg),1981,bootleg
stratgyx,,Strategy X,1981,Konami
stratgys,stratgyx,Strategy X (Stern),1981,[Konami] (Stern license)
armorcar,,Armored Car (set 1),1981,Stern
armorca2,armorcar,Armored Car (set 2),1981,Stern
moonwar,,Moonwar,1981,Stern
moonwara,moonwar,Moonwar (older),1981,Stern
spdcoin,,Speed Coin (prototype),1984,Stern
darkplnt,,Dark Planet,1982,Stern
tazmania,,Tazz-Mania (set 1),1982,Stern
tazmani2,tazmania,Tazz-Mania (set 2),1982,Stern
calipso,,Calipso,1982,[Stern] (Tago license)
anteater,,Anteater,1982,[Stern] (Tago license)
rescue,,Rescue,1982,Stern
aponow,rescue,Apocaljpse Now,1982,bootleg
minefld,,Minefield,1983,Stern
losttomb,,Lost Tomb (easy),1982,Stern
losttmbh,losttomb,Lost Tomb (hard),1982,Stern
superbon,,Agent Super Bond (Super Cobra conversion),1985,Signatron USA
hustler,,Video Hustler,1981,Konami
billiard,hustler,The Billiards,1981,bootleg
hustlerb,hustler,Video Hustler (bootleg),1981,bootleg
frogger,,Frogger,1981,Konami
frogseg1,frogger,Frogger (Sega set 1),1981,[Konami] (Sega license)
frogseg2,frogger,Frogger (Sega set 2),1981,[Konami] (Sega license)
froggrmc,frogger,Frogger (Moon Cresta hardware),1981,bootleg?
amidar,,Amidar,1981,Konami
amidaru,amidar,Amidar (Stern),1982,Konami (Stern license)
amidaro,amidar,Amidar (Olympia),1982,Konami (Olympia license)
amigo,amidar,Amigo,1982,bootleg
turtles,,Turtles,1981,[Konami] (Stern license)
turpin,turtles,Turpin,1981,[Konami] (Sega license)
600,turtles,600,1981,Konami
flyboy,,Fly-Boy,1982,Kaneko
flyboyb,flyboy,Fly-Boy (bootleg),1982,Kaneko
fastfred,flyboy,Fast Freddie,1982,Atari
jumpcoas,,Jump Coaster,1983,Kaneko
boggy84,,Boggy '84,1983,bootleg
redrobin,,Red Robin,1986,Elettronolo
imago,,Imago (cocktail set),1984,Acom
imagoa,imago,Imago (no cocktail set),1983,Acom
cclimber,,Crazy Climber (US),1980,Nichibutsu
cclimbrj,cclimber,Crazy Climber (Japan),1980,Nichibutsu
ccboot,cclimber,Crazy Climber (bootleg set 1),1980,bootleg
ccboot2,cclimber,Crazy Climber (bootleg set 2),1980,bootleg
ckong,,Crazy Kong (set 1),1981,Falcon
ckonga,ckong,Crazy Kong (set 2),1981,Falcon
ckongjeu,ckong,Crazy Kong (Jeutel bootleg),1981,bootleg
ckongo,ckong,Crazy Kong (Orca bootleg),1981,bootleg
ckongalc,ckong,Crazy Kong (Alca bootleg),1981,bootleg
monkeyd,ckong,Monkey Donkey,1981,bootleg
rpatrolb,,River Patrol (bootleg),1982?,bootleg
silvland,rpatrolb,Silver Land,1982?,Falcon
yamato,,Yamato (US),1983,Sega
yamato2,yamato,Yamato (World[Q]),1983,Sega
swimmer,,Swimmer (set 1),1982,Tehkan
swimmera,swimmer,Swimmer (set 2),1982,Tehkan
swimmerb,swimmer,Swimmer (set 3),1982,Tehkan
guzzler,,Guzzler,1983,Tehkan
cannonb,,Cannon Ball (Crazy Climber hardware),1985,Soft
gomoku,,Gomoku Narabe Renju,1981,Nichibutsu
wiping,,Wiping,1982,Nichibutsu
rugrats,wiping,Rug Rats,1983,Nichibutsu
friskyt,,Frisky Tom (set 1),1981,Nichibutsu
friskyta,friskyt,Frisky Tom (set 2),1981,Nichibutsu
radrad,,Radical Radial,1982,Nichibutsu USA
seicross,,Seicross,1984,Nichibutsu + Alice
sectrzon,seicross,Sector Zone,1984,Nichibutsu + Alice
firebatl,,Fire Battle,1984,Taito
clshroad,,Clash-Road,1986,Woodplace Inc.
tubep,,Tube Panic,1984,Nichibutsu + Fujitek
rjammer,,Roller Jammer,1984,Nichibutsu + Alice
magmax,,Mag Max,1985,Nichibutsu
cop01,,Cop 01 (set 1),1985,Nichibutsu
cop01a,cop01,Cop 01 (set 2),1985,Nichibutsu
mightguy,,Mighty Guy,1986,Nichibutsu
terracre,,Terra Cresta (YM3526 set 1),1985,Nichibutsu
terracrb,terracre,Terra Cresta (YM3526 set 2),1985,Nichibutsu
terracra,terracre,Terra Cresta (YM2203),1985,Nichibutsu
amazon,,Soldier Girl Amazon,1986,Nichibutsu
amatelas,amazon,Sei Senshi Amatelass,1986,Nichibutsu
horekid,,Kid no Hore Hore Daisakusen,1987,Nichibutsu
horekidb,horekid,Kid no Hore Hore Daisakusen (bootleg),1987,bootleg
galivan,,Galivan - Cosmo Police (12-16-1985),1985,Nichibutsu
galivan2,galivan,Galivan - Cosmo Police (12-11-1985),1985,Nichibutsu
dangar,,Dangar - Ufo Robo (12-1-1986),1986,Nichibutsu
dangar2,dangar,Dangar - Ufo Robo (9-26-1986),1986,Nichibutsu
dangarb,dangar,Dangar - Ufo Robo (bootleg),1986,bootleg
ninjemak,,Ninja Emaki (US),1986,Nichibutsu
youma,ninjemak,Youma Ninpou Chou (Japan),1986,Nichibutsu
legion,,Legion - Spinner-87 (World ver 2.03),1987,Nichibutsu
legiono,legion,Chouji Meikyuu Legion (Japan bootleg ver 1.05),1987,Nichibutsu
terraf,,Terra Force,1987,Nichibutsu
terrafu,terraf,Terra Force (US),1987,Nichibutsu USA
kodure,,Kodure Ookami (Japan),1987,Nichibutsu
armedf,,Armed Formation,1988,Nichibutsu
cclimbr2,,Crazy Climber 2 (Japan),1988,Nichibutsu
hyhoo,,Taisen Quiz HYHOO (Japan),1987,Nichibutsu
hyhoo2,,Taisen Quiz HYHOO 2 (Japan),1987,Nichibutsu
pastelgl,,Pastel Gal (Japan 851224),1985,Nichibutsu
crystalg,,Crystal Gal (Japan 860512),1986,Nichibutsu
crystal2,,Crystal Gal 2 (Japan 860620),1986,Nichibutsu
citylove,,City Love (Japan 860908),1986,Nichibutsu
apparel,,Apparel Night (Japan 860929),1986,Central Denshi
secolove,,Second Love (Japan 861201),1986,Nichibutsu
housemnq,,House Mannequin (Japan 870217),1987,Nichibutsu
housemn2,,House Mannequin Roppongi Live hen (Japan 870418),1987,Nichibutsu
seiha,,Seiha (Japan 870725),1987,Nichibutsu
seiham,seiha,Seiha [BET] (Japan 870723),1987,Nichibutsu
bijokkoy,,Bijokko Yume Monogatari (Japan 870925),1987,Nichibutsu
iemoto,,Iemoto (Japan 871020),1987,Nichibutsu
ojousan,,Ojousan (Japan 871204),1987,Nichibutsu
bijokkog,,Bijokko Gakuen (Japan 880116),1988,Nichibutsu
orangec,,Orange Club - Maruhi Kagai Jugyou (Japan 880213),1988,Daiichi Denshi
vipclub,orangec,Vip Club [BET] (Japan 880310),1988,Daiichi Denshi
korinai,,Mahjong-zukino Korinai Menmen (Japan 880425),1988,Nichibutsu
kaguya,,Mahjong Kaguyahime [BET] (Japan 880521),1988,MIKI SYOUJI
otonano,,Otona no Mahjong (Japan 880628),1988,Apple
kanatuen,,Kanatsuen no Onna [BET] (Japan 880905),1988,Panac
mjsikaku,,Mahjong Shikaku (Japan 880908),1988,Nichibutsu
mjsikakb,mjsikaku,Mahjong Shikaku (Japan 880722),1988,Nichibutsu
mjcamera,,Mahjong Camera Kozou (Japan 881109),1988,MIKI SYOUJI
mmcamera,mjcamera,Mahjong Camera Kozou [BET] (Japan 890509),1989,Miki Syouji
idhimitu,,Idol no Himitsu [BET] (Japan 890304),1989,Digital Soft
msjiken,,Mahjong Satsujin Jiken (Japan 881017),1988,Nichibutsu
hanamomo,,Mahjong Hana no Momoko gumi (Japan 881201),1988,Nichibutsu
telmahjn,,Telephone Mahjong (Japan 890111),1988,Nichibutsu
gionbana,,Gionbana (Japan 890120),1989,Nichibutsu
mjfocus,,Mahjong Focus (Japan 890313),1989,Nichibutsu
mjfocusm,mjfocus,Mahjong Focus [BET] (Japan 890510),1989,Nichibutsu
peepshow,mjfocus,Nozokimeguri Mahjong Peep Show (Japan 890404),1989,AC
scandal,,Scandal Mahjong (Japan 890213),1989,Nichibutsu
scandalm,scandal,Scandal Mahjong [BET] (Japan 890217),1989,Nichibutsu
mgmen89,,Mahjong G-MEN'89 (Japan 890425),1989,Nichibutsu
mjnanpas,,Mahjong Nanpa Story (Japan 890713),1989,BROOKS
mjnanpaa,mjnanpas,Mahjong Nanpa Story (Japan 890712),1989,BROOKS
mjnanpau,mjnanpas,Mahjong Nanpa Story (Ura) (Japan 890805),1989,BROOKS
pairsten,,Pairs (System Ten) (Japan 890826),1989,System Ten
bananadr,,Mahjong Banana Dream [BET] (Japan 891124),1989,Digital Soft
mladyhtr,,Mahjong THE LADY HUNTER (Japan 900509),1990,Nichibutsu
chinmoku,,Mahjong Chinmoku no Hentai (Japan 900511),1990,Nichibutsu
maiko,,Maikobana (Japan 900802),1990,Nichibutsu
club90s,,Mahjong CLUB 90's (set 1) (Japan 900919),1990,Nichibutsu
club90sa,club90s,Mahjong CLUB 90's (set 2) (Japan 900919),1990,Nichibutsu
hanaoji,,Hana to Ojisan [BET] (Japan 911209),1991,Nichibutsu
pstadium,,Mahjong Panic Stadium (Japan),1990,Nichibutsu
triplew1,,Mahjong Triple Wars (Japan),1989,Nichibutsu
triplew2,,Mahjong Triple Wars 2 (Japan),1990,Nichibutsu
ntopstar,,Mahjong Nerae! Top Star (Japan),1990,Nichibutsu
mjlstory,,Mahjong Jikken Love Story (Japan),1991,Nichibutsu
vanilla,,Mahjong Vanilla Syndrome (Japan),1991,Nichibutsu
finalbny,vanilla,Mahjong Final Bunny [BET] (Japan),1991,Nichibutsu
qmhayaku,,Quiz-Mahjong Hayaku Yatteyo! (Japan),1991,Nichibutsu
galkoku,,Mahjong Gal no Kokuhaku (Japan),1989,Nichibutsu/T.R.TEC
hyouban,galkoku,Mahjong Hyouban Musume [BET] (Japan),1989,Nichibutsu/T.R.TEC
galkaika,,Mahjong Gal no Kaika (Japan),1989,Nichibutsu/T.R.TEC
tokyogal,,Tokyo Gal Zukan (Japan),1989,Nichibutsu
tokimbsj,tokyogal,Tokimeki Bishoujo [BET] (Japan),1989,Nichibutsu
mcontest,,Miss Mahjong Contest (Japan),1989,Nichibutsu
uchuuai,,Mahjong Uchuu yori Ai wo komete (Japan),1989,Nichibutsu
av2mj1bb,,AV2Mahjong No.1 Bay Bridge no Seijo (Japan),1991,MIKI SYOUJI/AV JAPAN
av2mj2rg,,AV2Mahjong No.2 Rouge no Kaori (Japan),1991,MIKI SYOUJI/AV JAPAN
mjuraden,,Mahjong Uranai Densetsu (Japan),1992,Nichibutsu/Yubis
koinomp,,Mahjong Koi no Magic Potion (Japan),1992,Nichibutsu
patimono,,Mahjong Pachinko Monogatari (Japan),1992,Nichibutsu
mjanbari,,Medal Mahjong Janjan Baribari [BET] (Japan),1992,Nichibutsu/Yubis/AV JAPAN
ultramhm,,Ultra Maru-hi Mahjong (Japan),1993,Apple
gal10ren,,Mahjong Gal 10-renpatsu (Japan),1993,FUJIC
renaiclb,,Mahjong Ren-ai Club (Japan),1993,FUJIC
mjlaman,,Mahjong La Man (Japan),1993,Nichibutsu/AV JAPAN
mkeibaou,,Mahjong Keibaou (Japan),1993,Nichibutsu
pachiten,,Medal Mahjong Pachi-Slot Tengoku [BET] (Japan),1993,Nichibutsu/MIKI SYOUJI/AV JAPAN
sailorws,,Mahjong Sailor Wars (Japan),1993,Nichibutsu
sailorwr,sailorws,Mahjong Sailor Wars-R [BET] (Japan),1993,Nichibutsu
psailor1,,Bishoujo Janshi Pretty Sailor 18-kin (Japan),1994,SPHINX
psailor2,,Bishoujo Janshi Pretty Sailor 2 (Japan),1994,SPHINX
otatidai,,Disco Mahjong Otachidai no Okite (Japan),1995,SPHINX
ngpgal,,Nekketsu Grand-Prix Gal (Japan),1991,Nichibutsu
mjgottsu,,Mahjong Gottsu ee-kanji (Japan),1991,Nichibutsu
bakuhatu,mjgottsu,Mahjong Bakuhatsu Junjouden (Japan),1991,Nichibutsu
cmehyou,,Mahjong Circuit no Mehyou (Japan),1992,Nichibutsu/Kawakusu
mmehyou,,Medal Mahjong Circuit no Mehyou [BET] (Japan),1992,Nichibutsu/Kawakusu
mjkoiura,,Mahjong Koi Uranai (Japan),1992,Nichibutsu
imekura,,Imekura Mahjong (Japan),1994,SPHINX/AV JAPAN
mscoutm,,Mahjong Scout Man (Japan),1994,SPHINX/AV JAPAN
mjegolf,,Mahjong Erotica Golf (Japan),1994,FUJIC/AV JAPAN
niyanpai,,Niyanpai (Japan),1996,Nichibutsu
safarir,,Safari Rally (World),1979,SNK (Taito license)
safarirj,safarir,Safari Rally (Japan),1979,SNK
phoenix,,Phoenix (Amstar),1980,Amstar
phoenixa,phoenix,Phoenix (Centuri),1980,Amstar (Centuri license)
phoenixt,phoenix,Phoenix (Taito),1980,Taito
phoenix3,phoenix,Phoenix (T.P.N.),1980,bootleg
phoenixc,phoenix,"Phoenix (IRECSA, G.G.I Corp)",1981,bootleg?
condor,phoenix,Condor,1981,Sidam
falcon,phoenix,Falcon,1980,bootleg
vautour,phoenix,Vautour (Jeutel France),1980,bootleg
pleiads,,Pleiads (Tehkan),1981,Tehkan
pleiadbl,pleiads,Pleiads (bootleg),1981,bootleg
pleiadce,pleiads,Pleiads (Centuri),1981,Tehkan (Centuri license)
capitol,pleiads,Capitol,1981,Universal Video Spiel
survival,,Survival,1982,Rock-ola
naughtyb,,Naughty Boy,1982,Jaleco
naughtya,naughtyb,Naughty Boy (bootleg),1982,bootleg
naughtyc,naughtyb,Naughty Boy (Cinematronics),1982,Jaleco (Cinematronics license)
popflame,,Pop Flamer (protected),1982,Jaleco
popflama,popflame,Pop Flamer (not protected),1982,Jaleco
popflamb,popflame,Pop Flamer (hack[Q]),1982,Jaleco
geebee,,Gee Bee,1978,Namco
geebeeg,geebee,Gee Bee (Gremlin),1978,[Namco] (Gremlin license)
bombbee,,Bomb Bee,1979,Namco
cutieq,,Cutie Q,1979,Namco
navalone,,Navarone,1980,Namco
kaitei,,Kaitei Takara Sagashi,1980,K.K. Tokki
kaitein,,Kaitei Takara Sagashi (Namco),1980,Namco
sos,,SOS,1980,Namco
tankbatt,,Tank Battalion,1980,Namco
warpwarp,,Warp and Warp,1981,Namco
warpwarr,warpwarp,Warp Warp (Rock-ola set 1),1981,[Namco] (Rock-ola license)
warpwar2,warpwarp,Warp Warp (Rock-ola set 2),1981,[Namco] (Rock-ola license)
rallyx,,Rally X,1980,Namco
rallyxm,rallyx,Rally X (Midway),1980,[Namco] (Midway license)
nrallyx,,New Rally X,1981,Namco
jungler,,Jungler,1981,Konami
junglers,jungler,Jungler (Stern),1981,[Konami] (Stern license)
tactcian,,Tactician (set 1),1982,[Konami] (Sega license)
tactcan2,tactcian,Tactician (set 2),1981,[Konami] (Sega license)
locomotn,,Loco-Motion,1982,Konami (Centuri license)
gutangtn,locomotn,Guttang Gottong,1982,Konami (Sega license)
cottong,locomotn,Cotocoto Cottong,1982,bootleg
commsega,,Commando (Sega),1983,Sega
bosco,,Bosconian (new version),1981,Namco
boscoo,bosco,Bosconian (old version),1981,Namco
boscoo2,bosco,Bosconian (older version),1981,Namco
boscomd,bosco,"Bosconian (Midway, new version)",1981,Namco (Midway license)
boscomdo,bosco,"Bosconian (Midway, old version)",1981,Namco (Midway license)
galaga,,Galaga (Namco rev. B),1981,Namco
galagamw,galaga,Galaga (Midway set 1),1981,Namco (Midway license)
galagamk,galaga,Galaga (Midway set 2),1981,Namco (Midway license)
galagamf,galaga,Galaga (Midway set 1 with fast shoot hack),1981,Namco (Midway license)
galagao,galaga,Galaga (Namco),1981,Namco
gallag,galaga,Gallag,1982,bootleg
nebulbee,galaga,Nebulous Bee,1981,bootleg
gatsbee,galaga,Gatsbee,1984,hack (Uchida)
digdug,,Dig Dug (rev 2),1982,Namco
digdugb,digdug,Dig Dug (rev 1),1982,Namco
digdugat,digdug,"Dig Dug (Atari, rev 2)",1982,Namco (Atari license)
digduga1,digdug,"Dig Dug (Atari, rev 1)",1982,Namco (Atari license)
dzigzag,digdug,Zig Zag (Dig Dug hardware),1982,bootleg
xevious,,Xevious (Namco),1982,Namco
xeviousa,xevious,Xevious (Atari set 1),1982,Namco (Atari license)
xeviousb,xevious,Xevious (Atari set 2),1982,Namco (Atari license)
xeviousc,xevious,Xevious (Atari set 3),1982,Namco (Atari license)
xevios,xevious,Xevios,1982,bootleg
battles,xevious,Battles,1982,bootleg
sxevious,xevious,Super Xevious,1984,Namco
superpac,,Super Pac-Man,1982,Namco
superpcm,superpac,Super Pac-Man (Midway),1982,[Namco] (Bally Midway license)
pacnpal,,Pac &amp; Pal,1983,Namco
pacnpal2,pacnpal,Pac &amp; Pal (older),1983,Namco
pacnchmp,pacnpal,Pac-Man &amp; Chomp Chomp,1983,Namco
phozon,,Phozon (Japan),1983,Namco
mappy,,Mappy (US),1983,Namco
mappyj,mappy,Mappy (Japan),1983,Namco
digdug2,,Dig Dug II (New Ver.),1985,Namco
digdug2o,digdug2,Dig Dug II (Old Ver.),1985,Namco
todruaga,,Tower of Druaga (New Ver.),1984,Namco
todruago,todruaga,Tower of Druaga (Old Ver.),1984,Namco
motos,,Motos,1985,Namco
grobda,,Grobda (New Ver.),1984,Namco
grobda2,grobda,Grobda (Old Ver. set 1),1984,Namco
